# RTL_ID 21041400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: ma_fetch.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   0000a000   ---        --------
               6   N   0000a000   0000e101   0000a004   x10_a0     00000000
               7   N   0000a004   00004e01   0000a006   ---        --------
               8   N   0000a006   ffff7297   0000a008   x28_t3     00000000
               9   N   0000a008   8b828293   0000a00c   x05_t0     00001008
              10   N   0000a00c   30529073   0000a010   x05_t0     000008c0
              11   N   0000a010   00004505   0000a014   ---        --------
              12   N   0000a014   0000057e   0000a016   x10_a0     00000001
              13   N   0000a016   00054863   0000a018   x10_a0     80000000
              14   N   0000a018   0ff0000f   0000a028   ---        --------
              17   N   0000a028   00028f63   0000a02c   x05_t0     00000000
              18   N   0000a02c   10529073   0000a04a   ---        --------
              22   N   0000a04a   00006509   0000a04e   ---        --------
              23   N   0000a04e   00006509   0000a04e   ---        --------
              24   N   0000a04e   80050513   0000a050   x10_a0     00002000
              25   N   0000a050   30052073   0000a054   x10_a0     00001800
              26   N   0000a054   00001297   0000a058   ---        --------
              27   N   0000a058   00001297   0000a058   ---        --------
              28   N   0000a058   9f228293   0000a05c   x05_t0     0000b058
              29   N   0000a05c   34129073   0000a060   x05_t0     0000aa4a
              30   N   0000a060   f1402573   0000a064   ---        --------
              31   N   0000a064   30200073   0000a068   x10_a0     00000000
              33   N   0000a068   00000000   0000aa4a   ---        --------
              36   N   0000aa4a   00200e13   0000aa4c   ---        --------
              37   N   0000aa4c   00000313   0000aa50   x28_t3     00000002
              38   N   0000aa50   00000297   0000aa54   x06_t1     00000000
              39   N   0000aa54   00c28293   0000aa58   x05_t0     0000aa54
              40   N   0000aa58   00228367   0000aa5c   x05_t0     0000aa60
              41   N   0000aa5c   0000a011   0000aa62   x06_t1     0000aa60
              44   N   0000aa62   0e80006f   0000aa68   ---        --------
              47   N   0000aa68   00000297   0000aa6c   x28_t3     00000003
              48   N   0000aa6c   00c28293   0000aa70   x05_t0     0000aa6c
              49   N   0000aa70   00128367   0000aa74   x05_t0     0000aa78
              50   N   0000aa74   0080006f   0000aa78   x06_t1     0000aa78
              53   N   0000aa78   0d00006f   0000aa80   ---        --------
              56   N   0000aa80   00000313   0000aa84   x28_t3     00000004
              57   N   0000aa84   00000297   0000aa88   x06_t1     00000000
              58   N   0000aa88   00c28293   0000aa8c   x05_t0     0000aa88
              59   N   0000aa8c   00328367   0000aa90   x05_t0     0000aa94
              60   N   0000aa90   0000a011   0000aa96   x06_t1     0000aa94
              63   N   0000aa96   0b40006f   0000aa9c   ---        --------
              66   N   0000aa9c   00000313   0000aaa0   x28_t3     00000005
              67   N   0000aaa0   00000297   0000aaa4   x06_t1     00000000
              68   N   0000aaa4   00c28293   0000aaa8   x05_t0     0000aaa4
              69   N   0000aaa8   0060036f   0000aaac   x05_t0     0000aab0
              70   N   0000aaac   0000a011   0000aab2   x06_t1     0000aab0
              73   N   0000aab2   0980006f   0000aab8   ---        --------
              76   N   0000aab8   00000313   0000aabc   x28_t3     00000006
