# RTL_ID 21041400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: add.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000200   ---        --------
               6   N   00000200   0000e101   00000204   x10_a0     00000000
               7   N   00000204   00004e01   00000206   ---        --------
               8   N   00000206   00000297   00000208   x28_t3     00000000
               9   N   00000208   fb828293   0000020c   x05_t0     00000208
              10   N   0000020c   30529073   00000210   x05_t0     000001c0
              11   N   00000210   00004505   00000214   ---        --------
              12   N   00000214   0000057e   00000216   x10_a0     00000001
              13   N   00000216   00054863   00000218   x10_a0     80000000
              14   N   00000218   0ff0000f   00000228   ---        --------
              17   N   00000228   00028d63   0000022c   x05_t0     00000000
              18   N   0000022c   10529073   00000246   ---        --------
              22   N   00000246   00020297   0000024a   ---        --------
              23   N   0000024a   00000297   0000024a   ---        --------
              24   N   0000024a   30008293   0000024e   x05_t0     0000024a
              26   N   0000024e   00009073   00000252   x05_t0     000002a0
              28   N   00000252   05622573   00000256   ---        --------
              30   N   00000256   34120073   0000025a   x10_a0     00000000
              33   N   0000025a   00000000   000002a0   ---        --------
              36   N   000002a0   00004101   000002a2   x01_ra     00000000
              37   N   000002a2   002081b3   000002a4   x02_sp     00000000
              38   N   000002a4   00004e81   000002a8   x03_gp     00000000
              39   N   000002a8   00004e09   000002aa   x29_t4     00000000
              40   N   000002aa   35d19e63   000002ac   x28_t3     00000002
              41   N   000002ac   00004085   000002b0   ---        --------
              42   N   000002b0   00004105   000002b2   x01_ra     00000001
              43   N   000002b2   002081b3   000002b4   x02_sp     00000001
              44   N   000002b4   00004e89   000002b8   x03_gp     00000002
              45   N   000002b8   00004e0d   000002ba   x29_t4     00000002
              46   N   000002ba   35d19663   000002bc   x28_t3     00000003
              47   N   000002bc   0000408d   000002c0   ---        --------
              48   N   000002c0   0000411d   000002c2   x01_ra     00000003
              49   N   000002c2   002081b3   000002c4   x02_sp     00000007
              50   N   000002c4   00004ea9   000002c8   x03_gp     0000000a
              51   N   000002c8   00004e11   000002ca   x29_t4     0000000a
              52   N   000002ca   33d19e63   000002cc   x28_t3     00000004
              53   N   000002cc   00004081   000002d0   ---        --------
              54   N   000002d0   ffff8137   000002d2   x01_ra     00000000
              55   N   000002d2   408181b3   000002d6   x02_sp     ffff8000
              57   N   000002d6   00007ee1   000002da   x03_gp     ffff8000
              58   N   000002da   00004e15   000002dc   x29_t4     ffff8000
              59   N   000002dc   33d19563   000002de   x28_t3     00000005
              60   N   000002de   4e1500b7   000002e2   ---        --------
              62   N   000002e2   00004101   000002e6   x01_ra     80000000
              63   N   000002e6   002081b3   000002e8   x02_sp     00000000
              64   N   000002e8   80000eb7   000002ec   x03_gp     80000000
              65   N   000002ec   00004e19   000002f0   x29_t4     80000000
              66   N   000002f0   31d19b63   000002f2   x28_t3     00000006
              67   N   000002f2   4e1900b7   000002f6   ---        --------
              69   N   000002f6   31d18137   000002fa   x01_ra     80000000
              71   N   000002fa   800081b3   000002fe   x02_sp     ffff8000
              73   N   000002fe   ffff8eb7   00000302   x03_gp     7fff8000
              75   N   00000302   00004e1d   00000306   x29_t4     7fff8000
              76   N   00000306   31d19063   00000308   x28_t3     00000007
              77   N   00000308   00004081   0000030c   ---        --------
              78   N   0000030c   00008137   0000030e   x01_ra     00000000
              79   N   0000030e   0000117d   00000312   x02_sp     00008000
              80   N   00000312   002081b3   00000314   x02_sp     00007fff
              81   N   00000314   00006ea1   00000318   x03_gp     00007fff
              82   N   00000318   00001efd   0000031a   x29_t4     00008000
              83   N   0000031a   00004e21   0000031c   x29_t4     00007fff
              84   N   0000031c   2fd19563   0000031e   x28_t3     00000008
              85   N   0000031e   4e2100b7   00000322   ---        --------
              87   N   00000322   000010fd   00000326   x01_ra     80000000
              88   N   00000326   00004101   00000328   x01_ra     7fffffff
              89   N   00000328   002081b3   0000032a   x02_sp     00000000
              90   N   0000032a   41010eb7   0000032e   x03_gp     7fffffff
              92   N   0000032e   00001efd   00000332   x29_t4     80000000
              93   N   00000332   00004e25   00000334   x29_t4     7fffffff
              94   N   00000334   2dd19963   00000336   x28_t3     00000009
              95   N   00000336   4e2500b7   0000033a   ---        --------
              97   N   0000033a   000010fd   0000033e   x01_ra     80000000
              98   N   0000033e   00008137   00000340   x01_ra     7fffffff
              99   N   00000340   0000117d   00000344   x02_sp     00008000
             100   N   00000344   002081b3   00000346   x02_sp     00007fff
             101   N   00000346   117d8eb7   0000034a   x03_gp     80007ffe
             103   N   0000034a   00001ef9   0000034e   x29_t4     80008000
             104   N   0000034e   00004e29   00000350   x29_t4     80007ffe
             105   N   00000350   2bd19b63   00000352   x28_t3     0000000a
             106   N   00000352   4e2900b7   00000356   ---        --------
             108   N   00000356   2bd18137   0000035a   x01_ra     80000000
